taxon_phylum,taxon_class,taxon_order,D1-05_19-201,D1-05_23-203,D1-05_28-205,D1-06_02-207,D1-06_06-209,D1-06_16-214,D1-06_18-216,D1-06_23-219,D1-07_02-232,D2-05_09-179,D2-05_14-181,D2-08_15-241,D2-08_22-243,D2-08_29-245,D2-09_05-248,D2-09_12-262,D2-09_19-264,D2-09_26-266,D2-10_03-267,L1-04_30-174,L1-05_05-176,L1-06_09-211,L1-06_12-213,L1-07_22-235,L1-07_23-236,L1-07_24-237,L1-07_25-234,L1-07_25-238,L1-07_28-240,L1-08_15-242,L1-08_22-244,L1-08_29-246,L1-09_05-247,L1-09_12-261,L1-09_19-263,L1-09_26-265,L2-04_20-171,L2-04_25-173,L2-04_30-175,L2-05_05-177,L2-05_09-178,L2-05_14-180,L3-04_25-172,L4-05_19-200,L4-05_23-202,L4-05_28-204,L4-06_02-206,L4-06_06-208,L4-06_16-215,L4-06_18-217,L4-06_20-218,L4-06_23-220,L4-07_02-233,L4-07_07-255,L4-07_09-258,L4-07_11-260,L5-07_07-256,L5-07_09-257,L5-07_11-259,RF-06_09-210,RF-06_12-212
Actinobacteria,Actinobacteria,Bifidobacteriales,0.69,0.73,0.68,0.46,0.71,0.73,0.36,0.37,0.27,0.76,0.89,0.36,0.57,0.75,1,0.25,0.11,0.16,0.46,0.77,0.78,3.36,2.67,1.05,1.14,1.92,1.59,1.27,1.18,1.2,1.2,1.84,1.64,0.82,1.69,0.92,1.86,1.7,0.75,0.7,0.77,1.93,0.88,0.81,1.4,1.91,1.73,1.46,2.96,3.7,1.24,1.63,1.93,1.51,1.81,1.26,1.42,0.85,1.15,0.1,0.08
Actinobacteria,Actinobacteria,Streptomycetales,0.36,0.16,0.14,0.23,0.16,0.11,0.06,0.15,0.1,0.19,0.36,0.17,0.28,0.22,0.1,2.58,1.39,0.44,0.2,1.84,1.57,0.21,0.42,0.32,0.38,0.27,0.5,0.5,0.35,0.21,0.12,0.5,0.19,0.5,0.5,0.41,0.52,0.22,1.54,0.79,0.4,2.01,0.53,0.6,0.3,0.38,0.27,0.35,0.36,0.21,0.47,0.29,0.42,0.31,0.07,0.26,0.12,0.17,0.15,1.16,0.11
Actinobacteria,Actinobacteria,Pseudonocardiales,0.06,0.03,0.04,0.09,0.02,0.02,0.01,0.02,0.01,0.04,0.08,0.05,0.04,0.14,0.03,0.31,0.36,0.04,0.05,0.46,0.37,0.07,0.11,0.08,0.11,0.07,0.13,0.15,0.09,0.08,0.04,0.33,0.07,0.15,0.18,0.09,0.17,0.06,0.4,0.25,0.12,0.44,0.12,0.13,0.09,0.13,0.08,0.1,0.17,0.07,0.12,0.08,0.13,0.08,0.01,0.07,0.05,0.07,0.03,0.67,0.05
Actinobacteria,Actinobacteria,Streptosporangiales,0.06,0.03,0.02,0.33,0.02,0.04,0.02,0.01,0.03,0.07,0.18,0.04,0.05,0.31,0.08,0.5,0.27,0.06,0.08,0.36,0.34,0.03,0.05,0.09,0.04,0.03,0.06,0.07,0.09,0.02,0.03,0.07,0.04,0.08,0.09,0.18,0.13,0.04,0.25,0.24,0.07,0.38,0.13,0.13,0.07,0.06,0.04,0.06,0.2,0.03,0.04,0.03,0.1,0.03,0.03,0.05,0.01,0.04,0.05,0.29,0.01
Actinobacteria,Actinobacteria,Micromonosporales,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.16,0.06,0.02,0.03,0.19,0.14,0.04,0.06,0.05,0.08,0.07,0.11,0.13,0.06,0.03,0.01,0.08,0.06,0.08,0.1,0.08,0.1,0.03,0.15,0.07,0.09,0.15,0.06,0.01,0.06,0.1,0.06,0.05,0.08,0.05,0.1,0.09,0.12,0.06,0.01,0.06,0.03,0.1,0.04,0.32,0.01
Actinobacteria,Coriobacteriia,Coriobacteriales,0.14,0.18,0.12,0.11,0.04,0.1,0.12,0.07,0.06,0.22,0.23,0.13,0.15,0.13,0.29,0.07,0.03,0.01,0.15,0.16,0.19,0.27,0.45,0.24,0.24,0.34,0.38,0.33,0.29,0.24,0.23,0.27,0.25,0.25,0.29,0.21,0.38,0.37,0.16,0.1,0.27,1.21,0.21,0.13,0.36,1.01,0.44,0.25,0.27,0.25,0.27,0.21,0.27,0.34,0.41,0.3,0.21,0.24,0.11,0.03,0.01
Proteobacteria,Gammaproteobacteria,Pseudomonadales,2.66,1.74,1.3,12.99,3.5,1.79,2.82,7.22,6.53,2.45,2.61,5.15,6.46,5.81,4.76,4.37,3.3,1.88,5.59,4.86,6.39,6.8,6.67,12.1,7.84,8.85,9.06,8.96,9.07,7.67,10.95,12.52,9.61,7.28,9.84,8.14,5.88,7.23,5.13,2.62,6.31,4.31,7.46,4.97,6.23,5.54,6.58,6.59,5.98,5.91,7.27,6.67,6.27,8.01,8.01,9.02,7.66,7.64,6.17,1.41,0.94
Proteobacteria,Gammaproteobacteria,Xanthomonadales,0.98,0.2,0.9,0.2,0.46,0.28,2.65,0.5,4.55,2.47,0.34,2.47,1.56,3.46,0.4,1.72,23.59,70.54,2.89,0.54,3.97,0.69,1.43,1.86,1.53,2.25,1.73,1.37,4,14.09,0.34,3.55,1.19,7.67,0.83,4.62,2.36,0.87,0.76,1.49,11.86,1.3,4.1,3.04,1.72,1.27,1.88,3.66,3.83,0.7,0.75,0.61,10.3,10.2,0.91,5.78,8.8,11.77,1.39,27.39,63.81
Proteobacteria,Gammaproteobacteria,Enterobacteriales,6.64,1.31,1.48,1.76,0.74,0.71,1.76,0.46,0.92,1.7,0.76,1.76,1.91,3.28,1.63,1.08,7.6,8.9,1.24,1.5,1.93,2.04,2.29,3.88,2.06,2.78,2.13,2.11,3.49,12.3,4.35,9.75,3.02,5.08,4.73,3.22,2.25,2.74,1.73,0.9,2.59,1.01,3.02,1.88,1.43,1.98,1.36,1.81,3.32,1.09,4.41,2.09,2.49,4.44,2.73,2.83,2.89,3.69,1.3,5.93,15.54
Proteobacteria,Gammaproteobacteria,Legionellales,0.08,0.21,0.17,0.12,1.22,0.03,0.08,0.03,0.2,0.7,0.15,0.16,0.25,0.08,0.07,0.14,0.08,0.02,0.04,0.54,1.09,0.87,0.46,0.55,0.56,7.44,0.94,0.31,0.23,2.53,0.71,2.1,1.55,0.93,1.14,1.68,1.14,1.85,1.45,0.8,1.43,0.84,1.74,1.27,2.34,0.58,1.28,1.73,0.74,1.5,1.39,1.46,1.48,0.83,0.35,1.76,1.45,0.25,0.97,0.16,0.01
